grade,semester,subject,textbook_version,chapter,section
7,1,数学,人教版,第一章 有理数,1.1 正数和负数
7,1,数学,人教版,第一章 有理数,1.2 有理数的加减
7,1,数学,人教版,第一章 有理数,1.3 有理数的乘除
7,1,数学,人教版,第二章 整式的加减,2.1 整式
7,1,数学,人教版,第二章 整式的加减,2.2 整式的加减
7,1,数学,人教版,第三章 一元一次方程,3.1 一元一次方程的基本概念
7,1,数学,人教版,第三章 一元一次方程,3.2 解一元一次方程
7,1,数学,人教版,第三章 一元一次方程,3.3 实际问题与一元一次方程
7,2,数学,人教版,第四章 几何图形初步,4.1 几何图形
7,2,数学,人教版,第四章 几何图形初步,4.2 角的度量
7,2,数学,人教版,第五章 相交线与平行线,5.1 相交线
7,2,数学,人教版,第五章 相交线与平行线,5.2 平行线的性质
7,2,数学,人教版,第五章 相交线与平行线,5.3 平行线的判定
7,2,数学,人教版,第六章 三角形,6.1 三角形的概念
7,2,数学,人教版,第六章 三角形,6.2 三角形的内角和
7,2,数学,人教版,第六章 三角形,6.3 三角形的外角
8,1,数学,人教版,第一章 数据的收集与整理,1.1 数据的收集
8,1,数学,人教版,第一章 数据的收集与整理,1.2 数据的整理与表示
8,1,数学,人教版,第二章 二次根式,2.1 二次根式的概念
8,1,数学,人教版,第二章 二次根式,2.2 二次根式的运算
8,1,数学,人教版,第三章 一次函数,3.1 函数的概念
8,1,数学,人教版,第三章 一次函数,3.2 一次函数的图像和性质
8,2,数学,人教版,第四章 三角形的证明,4.1 全等三角形
8,2,数学,人教版,第四章 三角形的证明,4.2 三角形的证明
8,2,数学,人教版,第五章 四边形,5.1 平行四边形
8,2,数学,人教版,第五章 四边形,5.2 矩形、菱形、正方形
8,2,数学,人教版,第六章 勾股定理,6.1 勾股定理
8,2,数学,人教版,第六章 勾股定理,6.2 勾股定理的应用
9,1,数学,人教版,第一章 二次函数,1.1 二次函数的图像和性质
9,1,数学,人教版,第一章 二次函数,1.2 二次函数的应用
9,1,数学,人教版,第二章 统计,2.1 数据的分析
9,1,数学,人教版,第二章 统计,2.2 统计的应用
9,1,数学,人教版,第三章 概率初步,3.1 随机事件与概率
9,2,数学,人教版,第四章 相似图形,4.1 图形的相似
9,2,数学,人教版,第四章 相似图形,4.2 相似三角形
9,2,数学,人教版,第五章 圆,5.1 圆的基本性质
9,2,数学,人教版,第五章 圆,5.2 圆的切线
9,2,数学,人教版,第六章 圆的面积,6.1 圆的面积公式
9,2,数学,人教版,第六章 圆的面积,6.2 圆的面积应用
10,1,数学,人教版,第一章 集合与函数概念,1.1 集合
10,1,数学,人教版,第一章 集合与函数概念,1.2 函数概念
10,1,数学,人教版,第二章 基本初等函数,2.1 指数函数
10,1,数学,人教版,第二章 基本初等函数,2.2 对数函数
10,1,数学,人教版,第二章 基本初等函数,2.3 幂函数
10,2,数学,人教版,第三章 三角函数,3.1 角的概念推广
10,2,数学,人教版,第三章 三角函数,3.2 三角函数的定义
10,2,数学,人教版,第三章 三角函数,3.3 诱导公式
10,2,数学,人教版,第四章 平面向量,4.1 平面向量的概念
10,2,数学,人教版,第四章 平面向量,4.2 平面向量的运算
11,1,数学,人教版,第一章 立体几何,1.1 空间几何体
11,1,数学,人教版,第一章 立体几何,1.2 空间向量
11,1,数学,人教版,第二章 解析几何,2.1 直线与圆的方程
11,1,数学,人教版,第二章 解析几何,2.2 圆锥曲线
11,2,数学,人教版,第三章 计数原理,3.1 排列与组合
11,2,数学,人教版,第三章 计数原理,3.2 二项式定理
11,2,数学,人教版,第四章 概率与统计,4.1 随机变量及其分布
11,2,数学,人教版,第四章 概率与统计,4.2 统计推断
12,1,数学,人教版,第一章 数列,1.1 等差数列
12,1,数学,人教版,第一章 数列,1.2 等比数列
12,1,数学,人教版,第二章 极限与导数,2.1 极限的概念
12,1,数学,人教版,第二章 极限与导数,2.2 导数及其应用
12,2,数学,人教版,第三章 复数,3.1 复数的概念
12,2,数学,人教版,第三章 复数,3.2 复数的运算
12,2,数学,人教版,第四章 选修内容,4.1 线性规划
12,2,数学,人教版,第四章 选修内容,4.2 数学建模 